Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Impact_Score,Tasks_Automated_Pct
Financial Analyst,Finance,Medium,Remote,Medium,High,"Agile, Cloud Computing",57741,No,Decline,74,84
Product Manager,Technology,Small,Denver,Medium,High,"Marketing Strategy, NLP, Machine Learning, Deep Learning, Financial Modeling",61793,No,Decline,81,86
Graphic Designer,Transportation,Large,Denver,High,Low,"Communication, Project Management, Data Analysis, Cybersecurity, Leadership",98786,Yes,Growth,25,16
Marketing Analyst,Government,Small,Atlanta,Low,Low,"Financial Modeling, Marketing Strategy, Power BI",97464,Yes,Stable,36,28
DevOps Engineer,Manufacturing,Small,Atlanta,Medium,Low,"Cloud Computing, Cybersecurity, Communication, Project Management, Power BI",87867,No,Growth,22,20
Software Engineer,Technology,Medium,Austin,Low,Low,"NLP, Communication, SQL",72315,Yes,Growth,13,9
Graphic Designer,Healthcare,Small,Austin,Medium,High,"Data Analysis, Agile, Excel",71116,Yes,Stable,79,77
Graphic Designer,Energy,Medium,Los Angeles,Medium,Low,"SQL, Leadership, UX Research, Cybersecurity",99559,No,Growth,32,26
Healthcare Administrator,Media & Entertainment,Large,Boston,High,High,"Machine Learning, SQL, Power BI, Cybersecurity",52556,Yes,Stable,93,91
Software Engineer,Energy,Large,Remote,Low,Medium,"DevOps, Java, Power BI, Cybersecurity",59647,Yes,Decline,51,45
Logistics Coordinator,Transportation,Large,Atlanta,High,Low,"Python, Cybersecurity, Excel",128698,No,Stable,22,26
Customer Service Rep,Energy,Large,San Francisco,Low,Medium,"Agile, DevOps, NLP",80454,Yes,Growth,56,64
Customer Service Rep,Manufacturing,Medium,Chicago,Medium,Medium,"Python, Machine Learning, Deep Learning",96400,Yes,Decline,58,53
Business Analyst,Transportation,Medium,Chicago,Medium,Medium,"Python, Project Management",112526,No,Stable,63,62
Marketing Analyst,Retail,Small,New York,High,Medium,"SQL, Tableau",84758,Yes,Decline,57,56
DevOps Engineer,Technology,Small,Los Angeles,Medium,Low,"Machine Learning, SQL, Deep Learning, Python, Marketing Strategy",78120,No,Stable,18,16
Customer Service Rep,Technology,Small,Los Angeles,Medium,Low,"Machine Learning, Python, Deep Learning, Communication, Agile",82619,No,Stable,17,11
Accountant,Healthcare,Large,Boston,High,Medium,"Leadership, Communication, SQL",84393,No,Decline,40,28
DevOps Engineer,Healthcare,Small,Austin,Low,Medium,"Project Management, Power BI, UX Research",45254,Yes,Stable,33,35
DevOps Engineer,Finance,Small,San Francisco,Low,Low,"Financial Modeling, NLP, Java",114361,No,Growth,31,2
Supply Chain Manager,Media & Entertainment,Large,Atlanta,Medium,Low,"NLP, Communication, Python, Excel",104931,Yes,Growth,35,17
Financial Analyst,Education,Large,Atlanta,Medium,Medium,"Excel, Leadership, Java, Power BI",64357,No,Growth,32,29
Cybersecurity Analyst,Education,Medium,Austin,Medium,Low,"SQL, Python, Data Analysis, UX Research",92370,No,Growth,11,0
Data Scientist,Energy,Small,Atlanta,Medium,Low,"NLP, Cybersecurity",98100,No,Stable,24,24
Logistics Coordinator,Healthcare,Medium,San Francisco,Medium,Low,"UX Research, Java, Excel",93751,No,Decline,41,38
DevOps Engineer,Education,Medium,Austin,Medium,Medium,"Leadership, Power BI",64014,No,Decline,75,62
Marketing Analyst,Healthcare,Medium,Seattle,High,Medium,"Financial Modeling, SQL",89345,Yes,Stable,62,71
Accountant,Education,Medium,New York,Low,High,"Power BI, Marketing Strategy",60573,Yes,Growth,79,71
Machine Learning Engineer,Finance,Medium,Chicago,Medium,High,"Deep Learning, SQL, Financial Modeling, Java, Communication",62095,No,Decline,72,70
Customer Service Rep,Energy,Small,San Francisco,Low,Low,"Java, Python, UX Research, SQL, NLP",118981,Yes,Growth,37,30
DevOps Engineer,Transportation,Medium,Chicago,Low,High,"Excel, Deep Learning, Java",63832,No,Growth,96,93
Healthcare Administrator,Government,Small,San Francisco,High,Medium,"Financial Modeling, Cybersecurity, Agile, Cloud Computing, DevOps",76869,No,Stable,52,61
Software Engineer,Technology,Large,Austin,Low,High,"Cybersecurity, SQL",66860,Yes,Stable,96,95
Machine Learning Engineer,Transportation,Small,Chicago,High,Low,"Project Management, UX Research, Marketing Strategy",82834,Yes,Growth,28,16
HR Manager,Healthcare,Medium,Boston,High,Medium,"Tableau, Cybersecurity, Financial Modeling, Power BI",95148,Yes,Decline,72,65
Legal Advisor,Transportation,Large,Seattle,Medium,Medium,"DevOps, Excel, Java, Project Management",77349,No,Growth,47,43
Supply Chain Manager,Energy,Medium,Seattle,Medium,Medium,"Power BI, Communication, Java, Data Analysis",79243,No,Stable,53,42
Supply Chain Manager,Government,Large,Atlanta,Low,Low,"UX Research, Cybersecurity, Machine Learning",94899,Yes,Growth,25,26
DevOps Engineer,Finance,Small,Atlanta,Low,High,"Financial Modeling, Machine Learning, Data Analysis, Java, Project Management",47045,Yes,Stable,78,62
Product Manager,Energy,Small,Austin,Low,Medium,"Communication, Machine Learning",89718,No,Growth,73,69
Machine Learning Engineer,Manufacturing,Medium,Denver,High,Medium,"Tableau, Financial Modeling",87633,Yes,Stable,45,35
DevOps Engineer,Transportation,Large,Chicago,Low,Low,"Deep Learning, Cloud Computing",100145,No,Stable,4,3
Cybersecurity Analyst,Education,Medium,Boston,Medium,Medium,"Marketing Strategy, Agile, NLP, Tableau",99743,No,Stable,57,41
Product Manager,Retail,Medium,Austin,Medium,Low,"UX Research, Agile, Financial Modeling, SQL, Cloud Computing",117833,Yes,Growth,19,26
Business Analyst,Manufacturing,Small,Denver,Medium,High,"Marketing Strategy, Agile",85170,No,Decline,85,89
Data Scientist,Technology,Large,Chicago,Low,Medium,"DevOps, UX Research, Python",74256,Yes,Growth,56,46
Legal Advisor,Retail,Large,New York,Medium,Medium,"UX Research, Python",92183,Yes,Growth,37,19
